,true_label,24,25,26,27,28
5711,N,6,11,7,10,8
5712,R,15,3,12,13,2
5713,Z,9,8,16,26,0
5714,N,3,19,6,16,25
5715,R,17,23,21,4,22
5716,V,2,9,24,14,5
5717,M,21,17,1,0,19
5718,F,10,4,5,6,11
5719,H,17,23,21,4,22
5720,J,1,10,20,11,4
5721,S,7,13,15,18,27
5722,N,3,19,6,16,12
5723,Y,10,4,23,12,24
5724,U,4,24,5,22,9
5725,J,22,2,3,25,18
5726,D,5,1,18,23,2
5727,J,17,18,21,9,22
5728,L,11,22,11,7,17
5729,L,3,5,6,2,12
5730,L,11,22,11,7,17
5731,Y,19,12,22,3,16
5732,U,16,21,17,21,6
5733,V,19,12,22,3,16
5734,P,20,20,19,19,20
5735,X,17,23,21,4,22
5736,W,8,6,0,8,26
5737,S,17,17,13,0,19
5738,B,17,23,21,4,22
5739,O,5,1,18,23,2
5740,T,19,12,22,3,16
5741,S,15,3,12,13,13
5742,E,14,16,8,1,1
5743,M,16,21,17,21,6
5744,Y,3,5,6,2,12
5745,U,4,24,25,22,9
5746,D,5,1,18,13,2
5747,G,15,3,12,13,13
5748,J,18,14,9,17,7
5749,Z,7,13,15,18,27
5750,E,14,16,8,1,1
5751,V,3,5,6,2,25
5752,N,6,11,7,10,8
5753,M,23,19,2,16,10
5754,Z,9,8,16,26,0
5755,M,23,19,2,16,10
5756,T,2,9,24,14,5
5757,S,9,8,16,26,0
5758,P,20,20,23,19,20
5759,X,12,1,4,23,21
5760,L,1,0,20,24,23
5761,Y,12,21,4,21,21
5762,U,4,24,25,8,9
5763,F,20,20,19,19,20
5764,G,0,18,13,9,3
5765,L,11,22,11,7,17
5766,U,10,24,10,22,11
5767,W,23,19,2,15,10
5768,E,5,13,18,23,2
5769,B,1,10,20,11,4
5770,X,4,2,25,22,9
5771,M,23,19,2,16,10
5772,Z,9,8,16,26,0
5773,T,2,9,24,14,5
5774,Q,15,3,12,13,13
5775,V,2,9,24,14,5
5776,F,12,21,4,21,21
5777,B,3,5,6,2,12
5778,C,14,16,8,1,1
5779,Q,12,21,17,21,6
5780,X,5,1,18,23,2
5781,S,7,13,15,18,27
5782,H,17,23,21,16,22
5783,T,10,20,5,6,11
5784,S,1,10,20,11,4
5785,U,16,21,17,21,6
5786,N,5,1,18,23,2
5787,X,9,8,16,26,0
5788,A,21,17,1,0,19
5789,G,5,1,18,23,2
5790,A,16,21,17,21,6
5791,D,0,17,13,9,3
5792,S,3,5,6,2,12
5793,V,2,9,24,14,5
5794,B,5,1,18,23,2
5795,O,5,1,18,23,2
5796,P,20,20,19,19,20
5797,D,17,23,21,4,22
5798,B,9,8,16,26,0
5799,K,17,23,21,4,25
5800,I,13,7,14,20,14
5801,N,3,19,6,16,12
5802,C,12,18,4,9,25
5803,M,6,11,7,10,8
5804,W,13,7,14,20,15
5805,M,16,19,2,16,10
5806,G,15,3,10,5,13
5807,K,15,3,12,5,13
5808,F,20,4,23,12,24
5809,U,19,4,10,12,24
5810,G,15,3,12,13,13
5811,T,2,12,22,3,16
5812,P,20,20,19,19,20
5813,V,2,9,24,14,5
5814,Q,17,23,21,4,22
5815,Y,3,5,6,2,25
5816,Z,9,8,16,26,0
5817,C,0,18,13,9,3
5818,O,15,3,12,13,13
5819,R,15,3,12,5,13
5820,W,8,6,0,8,26
5821,A,16,21,17,21,6
5822,W,8,6,0,15,26
5823,Z,4,24,25,22,9
5824,Z,7,13,15,18,27
5825,S,1,10,20,11,4
5826,K,3,5,6,16,12
5827,F,20,20,19,6,20
5828,F,4,20,25,6,9
5829,C,14,16,8,1,1
5830,C,23,19,2,16,10
5831,Z,7,13,15,18,27
5832,Q,13,7,14,20,15
5833,Y,2,9,24,14,5
5834,L,0,18,13,9,3
5835,F,1,10,23,11,4
5836,Q,5,1,18,23,2
5837,N,4,24,25,22,9
5838,T,7,13,15,18,27
5839,K,9,8,16,26,0
5840,W,8,6,0,8,26
5841,N,8,24,0,15,26
5842,V,8,24,5,6,11
5843,B,12,21,4,21,21
5844,H,4,24,25,22,9
5845,W,8,24,5,15,11
5846,D,0,18,13,9,3
5847,E,14,16,8,1,1
5848,N,23,4,10,12,24
5849,X,0,18,13,9,3
5850,R,13,7,14,20,15
5851,P,13,7,14,20,15
5852,M,23,19,2,16,10
5853,E,14,16,8,1,1
5854,R,5,1,18,23,2
5855,E,4,24,25,22,9
5856,U,4,24,25,22,9
5857,Q,15,3,12,5,13
5858,L,11,22,11,7,17
5859,S,7,13,15,18,27
5860,U,15,3,12,5,13
5861,S,7,13,15,18,27
5862,F,0,18,13,9,3
5863,X,3,10,6,11,4
5864,D,1,10,20,11,4
5865,Y,3,5,6,2,12
5866,S,7,13,15,18,27
5867,J,0,18,19,9,3
5868,V,2,9,24,14,5
5869,R,9,7,16,26,0
5870,O,5,1,18,23,2
5871,J,1,10,20,11,4
5872,T,5,1,18,13,2
5873,M,21,17,1,0,19
5874,S,3,5,6,2,25
5875,A,21,17,1,0,19
5876,A,21,0,1,0,19
5877,O,13,7,14,20,15
5878,H,9,8,16,26,0
5879,P,19,4,23,12,24
5880,X,3,5,6,2,25
5881,B,1,10,21,11,4
5882,H,17,23,21,4,22
5883,I,22,2,3,25,18
5884,E,9,8,16,26,0
5885,B,5,1,18,23,2
5886,J,22,2,3,25,18
5887,Z,7,13,15,18,27
5888,L,22,2,3,25,19
5889,U,10,24,10,22,11
5890,M,16,23,17,4,6
5891,K,5,1,18,23,25
5892,Y,19,12,22,3,16
5893,R,15,3,12,5,13
5894,H,6,11,7,10,8
5895,N,1,10,20,11,4
5896,N,17,23,21,4,22
5897,W,23,19,2,15,10
5898,V,8,6,0,15,26
5899,K,0,18,13,4,3
5900,M,13,7,14,20,15
5901,K,4,18,25,22,9
5902,F,1,4,23,12,24
5903,D,16,1,17,16,6
5904,N,19,10,20,11,24
5905,B,9,8,16,26,0
5906,D,12,5,4,2,21
5907,U,5,1,18,23,2
5908,R,17,23,21,4,22
5909,F,0,18,19,9,3
5910,W,16,21,17,21,6
5911,K,16,21,17,21,6
5912,X,4,2,25,4,18
5913,Q,5,1,18,13,2
5914,U,19,8,16,26,24
5915,N,23,19,2,16,10
5916,T,19,12,22,3,16
5917,M,6,11,7,10,8
5918,D,5,1,18,16,2
5919,P,13,7,23,12,24
5920,N,16,21,17,21,6
5921,N,23,10,2,11,10
5922,Y,3,5,6,2,12
5923,K,17,23,21,4,22
5924,R,3,19,6,16,12
5925,L,11,22,11,7,17
5926,M,6,11,7,10,8
5927,M,12,21,4,21,21
5928,X,4,2,25,4,9
5929,E,17,23,21,4,25
5930,D,13,7,14,20,15
5931,R,13,7,14,20,15
5932,K,13,7,14,20,15
5933,I,22,2,3,25,18
5934,X,3,5,6,2,12
5935,O,5,1,18,23,2
5936,Y,19,12,22,3,16
5937,H,12,21,4,21,21
5938,U,6,15,7,10,8
5939,B,9,8,16,26,0
5940,R,0,18,13,9,3
5941,L,11,22,11,7,17
5942,Z,0,18,13,9,3
5943,C,14,16,8,1,1
5944,J,22,2,3,25,18
5945,J,18,14,9,17,7
5946,F,17,23,21,4,22
5947,D,1,10,20,11,4
5948,U,4,24,25,22,9
5949,I,17,23,21,4,22
5950,O,5,1,18,23,2
5951,B,1,10,20,11,4
5952,L,22,22,3,25,19
5953,N,8,6,0,8,26
5954,N,13,7,14,20,15
5955,L,22,2,3,25,4
5956,H,6,11,7,10,8
5957,Y,19,4,23,12,24
5958,Y,12,21,4,2,21
5959,X,3,5,6,2,25
5960,C,5,1,18,23,2
5961,J,22,2,3,4,18
5962,I,22,2,3,25,14
5963,L,3,5,6,2,25
5964,A,21,17,1,0,19
5965,E,3,5,6,2,25
5966,D,17,23,21,4,22
5967,A,21,17,1,0,19
5968,K,17,23,21,4,22
5969,S,17,23,21,4,22
5970,Y,2,9,24,14,5
5971,B,5,1,18,13,2
5972,Y,3,5,6,2,12
5973,J,22,2,3,25,18
5974,S,15,3,12,13,13
5975,S,7,13,15,18,27
5976,S,7,13,15,18,27
5977,S,4,24,25,22,9
5978,F,10,24,5,6,11
5979,U,9,7,16,26,0
5980,X,17,23,21,4,22
5981,R,17,23,21,4,22
5982,X,17,23,21,4,22
5983,D,15,3,12,13,13
5984,K,0,18,13,9,3
5985,O,5,1,18,23,2
5986,P,20,20,19,19,20
5987,M,16,19,17,16,6
5988,O,5,1,18,23,2
5989,L,22,2,3,25,4
5990,S,1,10,20,11,4
5991,L,22,2,3,25,19
5992,F,19,4,23,12,24
5993,Q,21,5,1,16,12
5994,I,20,20,19,19,20
5995,Q,12,21,4,21,21
5996,C,14,16,8,1,1
5997,Q,5,5,18,23,25
5998,A,21,17,1,0,19
5999,F,23,19,2,15,10
6000,X,9,8,16,26,0
6001,X,17,2,21,4,22
6002,H,4,18,25,8,9
6003,Y,19,12,22,3,16
6004,Z,4,24,25,22,9
6005,X,7,13,15,18,27
6006,U,16,21,17,21,6
6007,U,6,15,7,10,8
6008,D,17,17,21,0,22
6009,J,5,1,18,23,2
6010,A,17,17,13,0,25
6011,K,5,1,18,23,2
6012,J,18,14,9,17,7
6013,J,18,14,9,17,7
6014,D,1,10,20,11,4
6015,N,19,4,22,12,24
6016,E,5,1,18,5,2
6017,C,9,8,16,26,0
6018,T,3,5,6,2,12
6019,Y,19,12,22,3,16
6020,K,0,18,13,9,3
6021,T,2,9,24,14,5
6022,F,8,19,6,15,12
6023,K,15,3,12,5,13
6024,P,20,20,19,19,20
6025,G,15,1,18,13,2
6026,P,20,4,23,19,20
6027,B,1,10,20,11,4
6028,K,4,24,25,22,9
6029,C,14,16,8,1,1
6030,B,15,3,12,13,13
6031,W,23,12,2,3,10
6032,Z,1,10,20,11,4
6033,U,6,15,7,10,8
6034,U,10,24,10,22,9
6035,S,17,2,21,4,18
6036,I,0,18,13,9,3
6037,E,1,10,10,11,4
6038,F,19,4,23,12,24
6039,R,15,3,12,5,13
6040,H,17,23,21,4,22
6041,R,17,23,21,4,22
6042,C,19,4,10,12,24
6043,U,19,7,14,20,15
6044,Z,3,5,4,2,25
6045,K,15,3,12,5,13
6046,D,20,23,19,19,20
6047,B,17,23,21,4,22
6048,L,11,22,11,7,17
6049,R,5,1,18,23,2
6050,O,13,7,14,20,15
6051,H,13,7,14,20,15
6052,P,20,20,19,19,20
6053,R,3,5,6,5,25
6054,H,1,10,20,11,4
6055,E,12,5,4,2,25
6056,X,15,3,12,5,13
6057,H,17,23,21,4,22
6058,T,10,20,5,6,11
6059,T,10,20,5,6,11
6060,H,6,11,7,10,8
6061,Z,7,13,15,18,27
6062,B,0,18,13,9,3
6063,C,4,24,25,22,9
6064,U,4,24,25,22,9
6065,I,0,18,13,9,3
6066,O,5,1,18,23,2
6067,R,17,23,21,4,22
6068,H,6,11,7,10,8
6069,N,4,24,2,22,9
6070,X,22,2,10,25,18
6071,D,9,8,16,26,0
6072,S,9,8,16,26,0
6073,W,8,6,0,8,26
6074,W,23,19,2,15,10
6075,P,1,10,20,11,4
6076,V,2,9,24,14,5
6077,P,20,20,19,19,20
6078,T,10,4,23,6,24
6079,F,12,5,4,2,12
6080,T,15,3,12,26,13
6081,T,2,12,22,3,16
6082,A,21,17,1,0,19
6083,B,5,1,18,23,2
6084,V,19,12,22,3,16
6085,M,23,19,2,16,10
6086,C,4,24,25,22,9
6087,V,10,4,5,6,11
6088,F,10,4,5,12,24
6089,S,21,17,1,0,19
6090,R,1,10,20,11,4
6091,D,1,10,20,11,4
6092,O,5,1,18,23,2
6093,Q,15,5,12,5,25
6094,P,20,20,19,19,20
6095,U,6,15,7,10,8
6096,N,13,7,14,20,15
6097,Z,3,5,6,2,12
6098,L,1,0,20,24,23
6099,G,15,3,12,13,13
6100,I,1,10,20,11,4
6101,S,1,10,20,11,4
6102,J,22,2,3,25,18
6103,S,4,18,25,9,9
6104,J,22,2,3,25,18
6105,E,7,13,15,18,1
6106,M,23,10,2,11,10
6107,B,12,23,4,23,21
6108,W,23,19,2,15,10
6109,Y,2,9,24,14,5
6110,X,12,13,4,2,21
6111,X,3,5,6,2,25
6112,P,1,10,21,11,4
6113,K,9,8,16,26,0
6114,F,3,5,6,2,25
6115,K,1,10,20,11,4
6116,S,3,5,6,2,12
6117,Y,10,24,5,6,11
6118,D,5,1,18,23,2
6119,L,0,18,13,9,3
6120,H,3,5,6,2,12
6121,D,15,3,12,13,13
6122,G,3,5,6,2,25
6123,R,5,1,18,23,2
6124,C,0,18,13,9,3
6125,U,5,1,18,23,2
6126,Y,10,24,5,6,11
6127,R,17,23,21,4,22
6128,K,17,23,21,4,22
6129,F,1,10,23,11,24
6130,P,20,20,19,19,20
6131,S,17,23,21,4,22
6132,T,19,4,23,12,24
6133,Y,10,24,5,6,11
6134,V,2,9,24,14,5
6135,A,21,0,1,24,23
6136,A,21,0,1,0,19
6137,Y,10,4,5,6,11
6138,H,9,7,14,20,15
6139,C,14,16,8,5,1
6140,J,1,10,20,11,4
6141,Q,13,7,14,20,15
6142,X,12,13,4,18,21
6143,Y,3,5,6,2,12
6144,T,2,9,24,14,5
6145,O,13,7,14,20,15
6146,Y,10,24,5,6,11
6147,S,4,24,25,22,9
6148,M,23,19,2,16,10
6149,X,15,3,12,5,13
6150,L,11,22,11,7,17
6151,S,7,13,15,18,27
6152,F,10,4,5,6,11
6153,V,2,9,22,14,5
6154,S,7,13,15,18,27
6155,N,13,7,14,20,15
6156,R,0,18,13,9,3
6157,L,11,22,11,7,17
6158,N,6,11,7,10,8
6159,M,23,19,2,16,10
6160,N,17,23,21,4,22
6161,H,9,8,16,26,0
6162,B,15,3,12,13,13
6163,H,6,11,7,10,8
6164,G,16,21,17,21,6
6165,J,1,10,20,11,4
6166,S,4,24,25,22,9
6167,S,1,10,20,11,4
6168,D,15,3,12,13,13
6169,E,12,21,4,2,21
6170,U,15,3,10,5,13
6171,T,2,12,22,14,16
6172,Y,12,21,6,2,12
6173,X,7,13,15,18,27
6174,I,22,2,3,25,13
6175,Z,7,13,16,26,27
6176,X,9,8,16,26,0
6177,S,0,18,13,9,3
6178,I,22,3,3,25,14
6179,C,4,24,25,22,9
6180,C,3,5,6,2,25
6181,G,15,3,12,5,13
6182,Z,7,13,15,18,27
6183,V,2,9,24,14,5
6184,J,22,2,3,17,18
6185,S,0,18,13,9,3
6186,K,1,10,20,11,4
6187,U,6,15,7,10,8
6188,Z,1,10,20,11,4
6189,N,6,11,7,10,8
6190,C,0,18,13,9,3
6191,D,12,5,4,2,12
6192,L,3,5,12,5,25
6193,F,10,24,5,6,11
6194,L,11,22,11,7,17
6195,L,1,0,20,24,23
6196,O,15,3,12,5,13
6197,H,0,18,13,9,3
6198,N,23,19,2,16,12
6199,J,1,10,20,11,4
6200,C,14,16,8,1,1
6201,B,9,8,16,26,0
6202,V,19,12,22,3,16
6203,W,3,5,6,2,12
6204,W,8,6,0,8,26
6205,M,16,21,17,21,6
6206,B,12,21,4,21,21
6207,U,19,4,10,12,24
6208,U,19,4,10,12,24
6209,C,14,16,8,1,1
6210,L,11,22,11,7,17
6211,M,6,11,7,10,8
6212,U,2,3,10,14,5
6213,Y,8,6,0,8,26
6214,J,3,5,6,2,25
6215,Q,17,23,21,4,22
6216,M,6,11,7,10,8
6217,V,10,9,5,6,11
6218,Q,3,5,6,16,25
6219,R,12,21,4,21,21
6220,L,11,22,11,7,17
6221,E,9,8,16,26,0
6222,D,15,3,12,16,13
6223,B,17,23,21,4,22
6224,J,1,10,20,11,18
6225,V,2,9,24,14,5
6226,O,9,7,16,26,15
6227,L,17,2,21,4,18
6228,D,0,18,13,9,3
6229,A,21,0,1,24,23
6230,J,3,10,6,11,4
6231,O,15,3,12,5,13
6232,H,0,18,13,9,3
6233,J,18,14,9,17,7
6234,P,3,5,6,2,12
6235,F,1,10,23,11,4
6236,S,4,24,25,22,9
6237,D,1,10,20,11,4
6238,R,15,3,12,5,13
6239,Q,12,21,4,21,25
6240,D,12,21,4,21,21
6241,N,12,5,6,2,12
6242,N,13,7,14,20,15
6243,G,3,5,6,2,12
6244,I,1,10,20,11,14
6245,I,13,7,14,25,14
6246,A,21,17,1,0,19
6247,A,21,17,1,0,19
6248,D,5,1,18,23,12
6249,N,16,21,17,21,6
6250,E,14,16,8,1,1
6251,Y,3,5,6,2,12
6252,U,6,15,7,10,8
6253,H,6,11,7,10,8
6254,Y,19,12,22,3,16
6255,A,21,0,1,24,23
6256,W,23,19,2,15,10
6257,K,15,3,16,5,13
6258,P,20,20,19,19,20
6259,O,5,1,18,23,2
6260,A,21,17,1,0,19
6261,T,10,24,5,6,11
6262,N,16,21,17,21,6
6263,F,10,20,5,6,11
6264,M,8,19,0,15,26
6265,A,21,0,1,24,23
6266,V,19,12,22,3,16
6267,J,22,2,3,25,18
6268,V,8,6,0,8,26
6269,G,12,21,4,21,21
6270,K,5,1,18,23,2
6271,Y,10,24,5,6,11
6272,O,20,20,19,19,20
6273,L,11,22,11,7,17
6274,V,19,12,22,3,16
6275,U,5,1,18,16,2
6276,U,19,4,10,12,24
6277,U,19,7,14,20,15
6278,K,1,10,10,11,4
6279,S,9,8,16,26,0
6280,A,21,0,1,0,19
6281,T,19,4,23,12,24
6282,A,21,17,1,0,19
6283,H,1,10,10,16,4
6284,X,17,2,21,4,22
6285,Q,13,7,14,20,15
6286,A,21,0,1,24,23
6287,Y,3,5,6,2,25
6288,K,3,5,6,2,25
6289,Z,17,2,21,4,18
6290,B,0,18,13,9,3
6291,W,8,6,0,8,26
6292,A,17,23,21,4,22
6293,E,12,21,4,21,21
6294,Y,2,9,24,14,5
6295,J,22,2,3,25,18
6296,O,13,7,14,20,15
6297,C,4,24,25,22,9
6298,D,15,3,18,16,13
6299,U,13,15,14,20,15
6300,Q,12,21,4,21,21
6301,M,16,21,17,21,6
6302,M,6,11,7,10,8
6303,M,16,1,17,23,6
6304,U,0,18,13,8,3
6305,P,20,20,19,19,20
6306,N,13,7,14,20,15
6307,V,20,20,19,19,20
6308,J,1,10,20,11,4
6309,X,7,13,15,18,27
6310,R,5,1,18,23,2
6311,S,20,20,19,19,20
6312,J,22,10,3,25,4
6313,G,3,5,4,2,12
6314,Z,9,8,16,26,0
6315,E,9,8,16,26,0
6316,O,5,1,18,23,2
6317,Z,9,8,16,26,0
6318,D,1,10,20,11,4
6319,H,13,7,14,20,15
6320,V,8,6,0,8,26
6321,P,13,7,23,20,15
6322,J,1,10,20,11,4
6323,K,17,23,21,0,25
6324,T,19,12,22,3,16
6325,H,8,6,0,8,26
6326,U,13,15,14,20,15
6327,P,19,4,23,12,24
6328,Y,2,9,24,14,5
6329,F,19,4,23,12,24
6330,Z,7,13,15,18,27
6331,G,9,3,16,5,0
6332,D,0,18,13,9,3
6333,R,15,3,12,13,13
6334,P,20,20,19,19,20
6335,X,5,3,18,5,2
6336,N,1,10,20,11,4
6337,A,17,23,21,4,22
6338,H,15,3,12,16,13
6339,N,6,11,7,10,8
6340,S,7,13,15,18,27
6341,M,23,10,2,16,10
6342,T,2,9,24,14,5
6343,X,9,8,16,26,0
6344,V,19,4,22,12,24
6345,X,9,8,16,26,0
6346,R,5,1,18,23,2
6347,T,19,12,22,3,16
6348,L,9,8,20,26,0
6349,A,21,17,1,0,19
6350,L,11,22,11,7,17
6351,F,17,23,21,4,22
6352,R,17,23,21,4,22
6353,K,17,23,21,4,22
6354,B,1,10,21,11,4
6355,U,10,24,5,22,11
6356,L,3,5,6,2,25
6357,B,1,10,20,11,4
6358,S,7,13,15,18,27
6359,K,5,1,18,23,2
6360,Y,2,12,22,3,16
6361,P,20,20,19,19,20
6362,W,8,6,0,8,26
6363,W,13,7,14,20,15
6364,C,14,16,8,1,1
6365,T,19,4,23,12,24
6366,I,22,2,3,25,14
6367,I,13,7,14,20,14
6368,Z,4,2,25,22,18
6369,W,13,7,14,20,15
6370,Z,4,24,25,22,9
6371,Z,7,13,15,18,27
6372,J,18,14,9,17,7
6373,O,15,3,12,13,13
6374,O,5,1,18,23,2
6375,P,13,7,23,20,15
6376,N,5,19,18,16,10
6377,K,4,24,25,22,9
6378,W,8,6,0,8,26
6379,Z,17,2,21,4,18
6380,Q,3,3,6,5,25
6381,C,14,16,8,22,1
6382,R,13,7,14,20,15
6383,E,4,24,10,22,9
6384,T,10,20,5,6,11
6385,I,1,10,20,11,4
6386,I,22,2,3,25,18
6387,K,12,21,4,21,21
6388,N,3,5,6,16,12
6389,R,3,5,6,2,25
6390,X,1,10,20,11,4
6391,D,13,7,14,20,15
6392,W,19,4,2,12,24
6393,T,5,1,18,13,2
6394,T,2,9,24,14,5
6395,C,14,16,8,1,1
6396,A,21,0,1,24,23
6397,D,13,7,14,20,15
6398,C,14,16,8,1,1
6399,V,19,4,22,12,24
6400,N,5,1,18,16,2
6401,C,14,16,8,1,1
6402,S,7,13,15,18,27
6403,Y,19,12,22,3,16
6404,V,2,9,24,14,5
6405,I,13,7,14,20,14
6406,A,21,0,1,24,23
6407,Z,4,24,25,22,9
6408,R,15,3,12,5,13
6409,R,1,10,21,16,4
6410,A,21,0,1,0,19
6411,M,6,11,7,10,8
6412,F,19,4,23,12,24
6413,B,12,21,4,21,21
6414,M,16,21,17,21,6
6415,J,3,5,6,2,12
6416,O,15,3,12,5,13
6417,M,16,6,17,8,6
6418,U,15,3,12,5,13
6419,V,19,4,22,12,24
6420,E,14,16,8,1,1
6421,A,21,17,1,0,19
6422,C,3,5,6,2,25
6423,N,5,1,18,23,2
6424,F,1,4,23,12,24
6425,G,3,5,6,2,25
6426,U,4,24,25,22,9
6427,V,2,9,24,14,5
6428,B,0,18,13,9,3
6429,J,18,14,9,17,7
6430,H,12,21,4,2,21
6431,C,14,16,8,1,1
6432,H,17,23,21,16,22
6433,U,6,15,7,10,8
6434,Z,12,18,4,2,21
6435,G,15,3,12,13,13
6436,A,21,0,1,24,23
6437,E,14,16,8,1,1
6438,R,15,3,12,5,13
6439,P,1,4,23,12,24
6440,D,5,1,18,13,2
6441,C,12,21,4,2,21
6442,A,13,0,14,24,23
6443,E,15,3,12,13,13
6444,L,22,0,3,25,19
6445,S,17,23,21,4,22
6446,V,8,6,0,8,26
6447,E,14,16,8,1,1
6448,V,2,9,24,14,5
6449,L,11,22,11,7,17
6450,Z,7,13,15,18,27
6451,F,19,4,23,12,24
6452,U,8,6,0,8,26
6453,K,15,3,12,5,13
6454,X,17,2,21,4,4
6455,R,9,8,16,26,0
6456,F,12,5,4,2,21
6457,L,11,22,11,7,17
6458,P,1,10,20,11,4
6459,P,10,20,5,6,11
6460,U,6,15,7,10,8
6461,B,5,1,18,23,2
6462,D,15,3,12,13,13
6463,L,1,0,20,24,4
6464,E,3,5,6,2,25
6465,Y,2,9,24,14,5
6466,N,16,21,17,21,6
6467,V,10,4,5,6,11
6468,L,12,5,4,2,12
6469,S,7,13,15,18,27
6470,H,5,19,18,16,2
6471,I,9,8,16,26,0
6472,P,12,21,17,21,21
6473,B,15,13,12,13,13
6474,V,3,19,6,16,25
6475,J,1,10,20,11,4
6476,P,20,20,19,6,20
6477,E,12,5,4,2,21
6478,Z,7,13,15,18,27
6479,P,12,21,17,21,6
6480,F,17,23,21,4,12
6481,J,17,23,21,4,22
6482,A,21,0,1,24,23
6483,T,10,4,23,12,24
6484,H,0,18,13,9,3
6485,E,12,5,4,2,21
6486,M,16,21,17,21,6
6487,D,3,5,6,2,12
6488,E,1,10,20,11,4
6489,T,3,5,6,2,12
6490,F,10,4,5,6,11
6491,G,17,23,21,4,2
6492,L,11,22,11,7,17
6493,X,5,1,18,23,2
6494,C,4,24,25,22,9
6495,S,7,13,15,18,27
6496,V,19,12,22,3,16
6497,F,10,24,5,6,11
6498,X,7,13,15,18,27
6499,Y,10,24,5,6,11
6500,U,16,21,17,21,6
6501,X,4,2,25,4,18
6502,K,15,3,12,5,13
6503,Q,13,7,14,20,15
6504,P,3,21,6,21,12
6505,P,20,20,19,19,20
6506,R,15,3,12,5,13
6507,B,9,8,16,26,0
6508,M,17,23,21,0,22
6509,X,7,13,15,18,27
6510,N,23,19,2,16,10
6511,G,15,3,10,5,13
6512,E,3,5,6,2,12
6513,U,0,18,13,8,3
6514,V,2,9,24,14,5
6515,S,21,0,1,0,19
6516,W,13,7,14,20,15
6517,S,17,23,21,4,22
6518,Q,5,1,18,23,2
6519,H,12,21,4,21,21
6520,A,21,17,1,0,19
6521,Z,10,4,10,12,24
6522,K,4,24,25,22,9
6523,A,21,0,1,0,19
6524,Q,15,3,12,5,25
6525,G,9,8,16,26,0
6526,C,3,5,6,2,25
6527,I,22,2,3,25,18
6528,Q,15,3,12,13,13
6529,K,14,3,12,5,1
6530,J,22,2,3,25,18
6531,I,22,3,3,25,14
6532,D,3,5,6,2,12
6533,R,5,1,18,13,2
6534,M,6,11,7,10,8
6535,I,22,3,3,25,14
6536,W,5,1,18,23,25
6537,H,1,10,20,11,4
6538,E,17,23,21,4,22
6539,W,23,12,2,3,10
6540,S,4,24,25,22,9
6541,Q,12,5,4,2,25
6542,R,15,3,12,5,13
6543,L,17,17,21,0,19
6544,Q,9,8,16,26,0
6545,J,5,1,18,23,2
6546,I,1,10,20,11,4
6547,G,15,3,10,5,13
6548,M,23,19,2,16,10
6549,X,9,8,16,26,0
6550,Y,10,4,5,6,11
6551,N,6,11,7,10,8
6552,D,1,10,20,11,4
6553,U,6,15,7,10,8
6554,J,1,10,20,11,4
6555,Z,1,10,20,11,4
6556,K,3,5,6,2,25
6557,D,13,7,14,20,15
6558,Q,0,18,13,9,3
6559,F,10,20,5,6,11
6560,X,15,3,12,5,13
6561,W,16,21,17,21,6
6562,S,17,23,21,4,22
6563,I,9,8,20,26,0
6564,Y,12,5,4,2,21
6565,M,16,21,17,21,6
6566,A,21,17,1,0,19
6567,V,2,9,24,14,5
6568,V,20,20,19,19,20
6569,L,11,22,11,7,17
6570,O,5,1,18,23,2
6571,B,3,5,6,2,12
6572,A,21,17,1,0,19
6573,N,23,19,2,15,10
6574,J,22,2,3,25,18
6575,A,23,19,2,16,12
6576,C,14,16,8,1,1
6577,G,12,21,4,21,21
6578,A,3,5,6,2,12
6579,N,6,11,7,10,8
6580,M,16,21,17,8,6
6581,Q,15,3,12,5,13
6582,J,17,23,21,4,22
6583,X,12,5,4,2,21
6584,R,17,23,21,4,22
6585,A,21,0,1,24,23
6586,N,13,7,14,20,15
6587,U,19,7,10,20,15
6588,W,8,6,0,15,26
6589,W,8,19,0,15,10
6590,L,11,22,11,7,17
6591,K,9,8,16,26,0
6592,E,4,24,10,22,9
6593,W,23,19,2,15,10
6594,A,3,19,6,16,12
6595,X,12,21,4,21,21
6596,D,15,3,12,13,13
6597,X,4,24,25,8,9
6598,R,17,23,21,4,22
6599,V,8,6,0,8,26
6600,T,10,20,5,6,11
6601,B,9,8,16,26,13
6602,R,15,3,12,13,13
6603,H,21,5,1,16,19
6604,V,2,9,24,14,5
6605,S,7,13,15,18,27
6606,O,5,24,18,22,2
6607,Q,3,5,6,5,25
6608,U,6,15,7,10,8
6609,P,1,10,20,11,4
6610,T,10,20,5,6,11
6611,D,15,3,12,13,13
6612,G,5,1,18,23,2
6613,P,12,21,17,21,21
6614,L,15,3,12,5,13
6615,L,11,22,11,7,17
6616,B,12,21,4,21,21
6617,J,1,10,20,11,4
6618,B,17,23,21,4,22
6619,L,1,0,20,24,23
6620,L,11,22,11,7,17
6621,P,5,1,4,23,21
6622,Y,19,12,22,3,16
6623,U,4,24,25,22,9
6624,G,5,1,18,23,2
6625,Y,10,4,5,6,11
6626,B,9,8,16,26,0
6627,B,9,8,16,26,0
6628,R,17,23,21,4,22
6629,F,5,5,18,2,25
6630,X,5,1,18,23,2
6631,S,4,24,25,22,9
6632,H,5,1,18,23,2
6633,Q,15,3,12,13,13
6634,P,19,4,23,12,24
6635,F,4,18,25,9,3
